time	V(n004)
5.838335542094340e-002	6.307813e-002
5.842684260795919e-002	9.528521e-002
5.851381698199078e-002	1.595679e-001
5.866674889893029e-002	2.721554e-001
5.903678550737476e-002	5.405912e-001
5.916050256311978e-002	6.278410e-001
5.940793667460983e-002	7.961736e-001
5.990280489758992e-002	1.101163e+000
6.083206123679243e-002	1.576042e+000
6.152284420732212e-002	1.838561e+000
6.185259947675832e-002	1.919874e+000
6.210595898495577e-002	1.955671e+000
6.242042891552435e-002	1.974169e+000
6.272041740455284e-002	1.965626e+000
6.310875042129145e-002	1.911090e+000
6.373789097861696e-002	1.737130e+000
6.450304837647693e-002	1.413430e+000
6.519266615722064e-002	1.026732e+000
6.589063633022357e-002	5.685718e-001
6.618846027889663e-002	3.584366e-001
6.628777171556294e-002	2.856927e-001
6.640068799834961e-002	2.025829e-001
6.652172838032906e-002	1.132570e-001
6.664421000387000e-002	2.287945e-002
6.664848354663007e-002	1.979893e-002
6.665703063215021e-002	1.384536e-002
6.666327127817048e-002	9.752877e-003
6.666778457814891e-002	7.239200e-003
6.667185527093428e-002	5.589235e-003
6.667603571834184e-002	4.611397e-003
6.668167122725337e-002	3.986226e-003
6.668240143256546e-002	3.956358e-003
6.668335649600253e-002	3.908295e-003
6.668396250921831e-002	3.875788e-003
6.668459810367260e-002	3.845868e-003
6.668497712631161e-002	3.829671e-003
6.668530427286210e-002	3.813218e-003
6.668558236770643e-002	3.794625e-003
6.668583852850733e-002	3.773264e-003
6.668602643907788e-002	3.755557e-003
6.668618245496583e-002	3.740552e-003
6.668632346673804e-002	3.727815e-003
6.668646895148528e-002	3.716172e-003
6.668662859385045e-002	3.705425e-003
6.668691752174173e-002	3.691691e-003
6.668718931891704e-002	3.684825e-003
6.668761420247112e-002	3.686171e-003
6.668812080318076e-002	3.722718e-003
6.668840209080330e-002	3.753490e-003
6.668868337842586e-002	3.783717e-003
6.668896466604840e-002	3.813402e-003
6.668924595367096e-002	3.842542e-003
6.668952724129350e-002	3.871140e-003
6.668980852891605e-002	3.899193e-003
6.669008981653860e-002	3.926704e-003
6.669068581270045e-002	4.048006e-003
6.669141735635800e-002	4.367924e-003
6.669232010030310e-002	5.391818e-003
6.669311580933944e-002	7.681726e-003
6.669365639006515e-002	1.104457e-002
6.669424992741367e-002	1.648153e-002
6.669456896397290e-002	1.945327e-002
6.669474908649636e-002	2.075785e-002
6.669493499095670e-002	2.163808e-002
6.669515321538871e-002	2.220014e-002
6.669550791567441e-002	2.254548e-002
6.669599612728834e-002	2.257845e-002
6.669656558028972e-002	2.277004e-002
6.670456833961330e-002	2.884603e-002
6.671257109893689e-002	3.490104e-002
6.672057385826047e-002	4.093505e-002
6.672857661758407e-002	4.694808e-002
6.673657937690765e-002	5.294012e-002
6.674458213623123e-002	5.891117e-002
6.675258489555482e-002	6.486124e-002
6.679232112405976e-002	9.454349e-002
6.687179358106966e-002	1.537555e-001
6.702942518904571e-002	2.706130e-001
6.720617330672755e-002	4.000615e-001
6.752336848433720e-002	6.243110e-001
6.815775883955649e-002	1.034041e+000
6.902966985579825e-002	1.496067e+000
6.992193576184175e-002	1.842735e+000
7.023472160852684e-002	1.919453e+000
7.050000383913598e-002	1.954105e+000
7.075281195872768e-002	1.967210e+000
7.105339726080887e-002	1.957352e+000
7.144150894645097e-002	1.902474e+000
7.207029780130579e-002	1.718858e+000
7.306964176804626e-002	1.246937e+000
7.431354538588628e-002	4.861988e-001
7.438118602304251e-002	4.392702e-001
7.451646729735501e-002	3.399790e-001
7.478702984597997e-002	1.397896e-001
7.485467048313621e-002	8.952863e-002
7.487158064242527e-002	7.696366e-002
7.490540096100340e-002	5.189993e-002
7.493185439697335e-002	3.235216e-002
7.493846775596584e-002	2.753694e-002
7.495169447395082e-002	1.818385e-002
7.495967623146818e-002	1.292206e-002
7.496510414316662e-002	9.876351e-003
7.496844238682149e-002	8.527731e-003
7.497176065219229e-002	7.856495e-003
7.497475797804253e-002	7.886700e-003
7.497635037989413e-002	8.276424e-003
7.497789363197562e-002	9.010646e-003
7.497985514694436e-002	1.027220e-002
7.498137999523169e-002	1.142350e-002
7.498556088048239e-002	1.483122e-002
7.498715499032169e-002	1.605469e-002
7.498859833994896e-002	1.706700e-002
7.499098044701229e-002	1.879984e-002
7.499689507553432e-002	2.324444e-002
7.500280970405635e-002	2.767636e-002
7.500872433257838e-002	3.209559e-002
7.501463896110040e-002	3.650213e-002
7.502055358962244e-002	4.089600e-002
7.502646821814446e-002	4.527718e-002
7.503238284666650e-002	4.964567e-002
7.505218742051255e-002	6.432508e-002
7.509179656820465e-002	9.366188e-002
7.516672429585847e-002	1.490548e-001
7.531657975116610e-002	2.594345e-001
7.568109260753364e-002	5.242801e-001
7.580322064662390e-002	6.106349e-001
7.604747672480441e-002	7.775179e-001
7.653598888116545e-002	1.080291e+000
7.748471492892434e-002	1.567963e+000
7.819581347247318e-002	1.839512e+000
7.852393284349458e-002	1.920336e+000
7.877843639238119e-002	1.955878e+000
7.909428716822683e-002	1.974012e+000
7.938975890519323e-002	1.965186e+000
7.977976670009930e-002	1.909854e+000
8.041156803543891e-002	1.735678e+000
8.113966409699287e-002	1.429574e+000
8.182592101740813e-002	1.047226e+000
8.251974011474646e-002	5.937751e-001
8.289552996918698e-002	3.285649e-001
8.302075811738867e-002	2.365824e-001
8.313794593927966e-002	1.501470e-001
8.326495603807085e-002	5.631017e-002
8.327937435873768e-002	4.568331e-002
8.330821100007134e-002	2.451317e-002
8.331366121264797e-002	2.057122e-002
8.332456163780122e-002	1.297656e-002
8.333164880645086e-002	8.514363e-003
8.333639351154684e-002	6.206769e-003
8.334083465050564e-002	4.870918e-003
8.334542241982425e-002	4.121265e-003
8.334687576863392e-002	4.029922e-003
8.334881356704681e-002	3.944312e-003
8.334996472444418e-002	3.887829e-003
8.335060515650189e-002	3.854595e-003
8.335112905873555e-002	3.829970e-003
8.335138875028542e-002	3.817539e-003
8.335161293821146e-002	3.804402e-003
8.335177805004140e-002	3.792286e-003
8.335192667058509e-002	3.779734e-003
8.335204888997962e-002	3.768462e-003
8.335217775561203e-002	3.755916e-003
8.335227625778378e-002	3.746361e-003
8.335238192159974e-002	3.736327e-003
8.335245830335208e-002	3.729415e-003
8.335257344489906e-002	3.719783e-003
8.335267015623736e-002	3.712653e-003
8.335276686757565e-002	3.706342e-003
8.335286357891394e-002	3.700850e-003
8.335296029025224e-002	3.696176e-003
8.335305700159054e-002	3.692321e-003
8.335315371292883e-002	3.689285e-003
8.335325042426713e-002	3.687067e-003
8.335374067727312e-002	3.687090e-003
8.335448124622372e-002	3.745212e-003
8.335585175872534e-002	3.905104e-003
8.335739996489634e-002	4.404417e-003
8.335863653845549e-002	5.646314e-003
8.335929487122831e-002	7.556622e-003
8.335980390749645e-002	1.075876e-002
8.336041519842223e-002	1.632883e-002
8.336074148282481e-002	1.937163e-002
8.336092515378779e-002	2.071746e-002
8.336110820753229e-002	2.159874e-002
8.336132624077938e-002	2.217700e-002
8.336166472470628e-002	2.253016e-002
8.336213545713495e-002	2.256737e-002
8.336269729158716e-002	2.273336e-002
8.336660099383716e-002	2.571375e-002
8.337050469608716e-002	2.868238e-002
8.337440839833717e-002	3.163924e-002
8.337831210058716e-002	3.458434e-002
8.338221580283717e-002	3.751768e-002
8.338611950508716e-002	4.043925e-002
8.339002320733717e-002	4.334906e-002
8.340963596466319e-002	5.802611e-002
8.344877992273397e-002	8.727518e-002
8.352706783887554e-002	1.456337e-001
8.367202585668855e-002	2.531956e-001
8.384307847181143e-002	3.787931e-001
8.412807686157028e-002	5.819288e-001
8.469807364108802e-002	9.567852e-001
8.557549910275844e-002	1.440058e+000
8.646173327872206e-002	1.808104e+000
8.680745840702624e-002	1.902873e+000
8.706520648063497e-002	1.943189e+000
8.736590561490458e-002	1.964424e+000
8.770012372071016e-002	1.958324e+000
8.807574591161252e-002	1.909287e+000
8.868466399438761e-002	1.738470e+000
8.965451156860153e-002	1.292675e+000
9.089006805112941e-002	5.519920e-001
9.093827362213634e-002	5.190334e-001
9.103468476415021e-002	4.490446e-001
9.122750704817793e-002	3.074023e-001
9.161315161623339e-002	2.190672e-002
9.161962730424855e-002	1.747275e-002
9.163269954292168e-002	9.362668e-003
9.163396223453933e-002	8.829265e-003
9.163599470274816e-002	8.201967e-003
9.163727128625061e-002	7.923946e-003
9.163926434164260e-002	7.712026e-003
9.164153978492266e-002	7.810167e-003
9.164324233849595e-002	8.215375e-003
9.164496771675007e-002	9.002686e-003
9.164699362733605e-002	1.029497e-002
9.164877367155119e-002	1.164441e-002
